tanggal_tagihan,nama_kolektor,nama_sales,customer_name,tanggal_transaksi,transaksi_id,tanda_terima,total_tagihan,cash,giro_id,giro_bank,no_giro,jatuh_tempo,giro_amount,transfer_id,tanggal_transfer,transfer_amount,nihil,keterangan
23/05/2023,Ade S,Eko,WIJAYA TEKNIK,15/02,23B00974,FALSE,1277721,,,,,,,,,,TRUE,
23/05/2023,Ade S,Eko,GALAXY MOTOR (Jakbar),03/03,23C00076,TRUE,2942499,,,,,,,qYyk0K1l,19/05,2942499,FALSE,
23/05/2023,Ade S,Hendra,BORNEO MOTOR (Jakut),11/03,23C00650,FALSE,3506990,3507000,,,,,,,,,FALSE,Lebih 10
23/05/2023,Ade S,Eko,555 MOTOR,16/03,23C00982,FALSE,1569540,1569500,,,,,,,,,FALSE,Kurang 40
23/05/2023,Ade S,Hendra,REZEKI MOTOR (Kedoya),06/02,23B00152,TRUE,1652524,1652500,,,,,,,,,FALSE,Kurang 24
23/05/2023,,,,08/02,23B00382,TRUE,1130768,1130800,,,,,,,,,FALSE,Lebih 32
23/05/2023,,,,13/02,23B00755,TRUE,2466043,2466000,,,,,,,,,FALSE,Kurang 43
23/05/2023,,,,16/02,23B01055,TRUE,1868374,1868400,,,,,,,,,FALSE,Lebih 26
23/05/2023,,,,20/02,23B01206,TRUE,1746696,1746700,,,,,,,,,FALSE,Lebih 4
23/05/2023,,,,24/03,23C01458,FALSE,10084139,,,,,,,,,,TRUE,
23/05/2023,Ade S,Hendra,HARIS JAYA MOTOR,07/02,23B00311,FALSE,909090,909000,,,,,,,,,FALSE,Kurang 90
23/05/2023,,,,14/02,23B00873,FALSE,1212120,1212100,,,,,,,,,FALSE,Kurang 20
23/05/2023,,,,28/02,23B02070,FALSE,6149955,,,,,,,,,,TRUE,
23/05/2023,,,,03/03,23C00104,FALSE,1025640,,,,,,,,,,TRUE,
23/05/2023,,,,15/03,23C00871,FALSE,2905203,,,,,,,,,,TRUE,
23/05/2023,Ade S,Eko,BUDI JAYA MOTOR (Kapuk),20/02,23B01214,TRUE,6479325,,Q1WE58u7,Permata Bank,No. 850376,10/06,7735000,,,,FALSE,Kurang 734
23/05/2023,,,,23/02,23B01696,TRUE,1256409,,,,,,,,,,FALSE,
23/05/2023,,,,27/02,23B01914,TRUE,410722,,CL2635xP,BRI,No. CGQ 606684,27/06,3082000,,,,FALSE,Kurang 359
23/05/2023,,,,04/03,23C00195,TRUE,2671637,,,,,,,,,,FALSE,
23/05/2023,,,,10/03,23C00586,FALSE,404040,,,,,,,,,,TRUE,
23/05/2023,,,,13/03,23C00738,FALSE,470085,,,,,,,,,,TRUE,
23/05/2023,,,,15/03,23C00861,FALSE,235431,,,,,,,,,,TRUE,
23/05/2023,,,,20/03,23C01283,FALSE,977777,,,,,,,,,,TRUE,
23/05/2023,,,,21/03,23C01402,FALSE,666666,,,,,,,,,,TRUE,
23/05/2023,,,,24/03,23C01514,FALSE,365967,,,,,,,,,,TRUE,
23/05/2023,Ade S,Eko,PINKA JAYA MOTOR,27/02,23B01962,FALSE,1326461,,1U1V3R5b,BCA,No. EX 051852,29/05,11644500,,,,FALSE,Kurang 99
23/05/2023,,,,03/03,23C00152,FALSE,1645353,,,,,,,,,,FALSE,
23/05/2023,,,,06/03,23C00204,FALSE,1444188,,,,,,,,,,FALSE,
23/05/2023,,,,11/03,23C00674,FALSE,1582250,,,,,,,,,,FALSE,
23/05/2023,,,,18/03,23C01185,FALSE,2008978,,,,,,,,,,FALSE,
23/05/2023,,,,20/03,23C01273,FALSE,730325,,,,,,,,,,FALSE,
23/05/2023,,,,21/03,23C01440,FALSE,2907046,,,,,,,,,,FALSE,
23/05/2023,,,,27/03,23C01722,FALSE,477922,,l75hv474,BCA,No. EX 051853,01/06,9499500,,,,FALSE,Kurang 80
23/05/2023,,,,28/03,23C01878,FALSE,6335802,,,,,,,,,,FALSE,
